question,answer
In what country did the Rwandan Genocide take place?,The Rwandan genocide took place in Rwanda.
What was the name of the Soviet Union's first artificial satellite?,The name of the first artificial satellite launched by the Soviet Union was Sputnik 1.
 Who invented the printing press?,"Johannes Gutenberg is credited with inventing the printing press with movable type around 1440. While printing technologies existed before, Gutenberg's invention significantly improved the speed, efficiency, and affordability of printing, leading to a revolution in the dissemination of knowledge."
 When was the telephone invented?,"Alexander Graham Bell is widely credited with inventing the telephone in 1876. He received the first U.S. patent for the device on March 7, 1876. However, there were other inventors working on similar technologies around the same time, contributing to the development of the telephone."
 What country is credited with inventing paper?,"China is credited with inventing paper. The invention is traditionally attributed to Cai Lun, an official during the Han Dynasty, around 105 AD. He is credited with standardizing the papermaking process using materials like bark, hemp, cloth rags, and old fishing nets."
 Who invented the light bulb?,"While many inventors contributed to the development of the light bulb, Thomas Edison is most often credited with inventing the first commercially viable incandescent light bulb in 1879. He improved upon earlier designs and created a practical and long-lasting light bulb."
 What was the first mechanical computer called?,"The first mechanical computer is generally considered to be the Analytical Engine, designed by Charles Babbage in the 1830s. Although it was never fully completed in his lifetime due to funding and technological limitations, the Analytical Engine laid the conceptual groundwork for modern computers."
 Who invented the steam engine?,"While there were earlier versions, James Watt significantly improved the steam engine in the late 18th century, making it more efficient and practical. His improvements were crucial for the Industrial Revolution. Earlier versions were developed by Thomas Savery and Thomas Newcomen."
 When was the first photograph taken?,"The first surviving photograph, View from the Window at Le Gras, was taken by Nicéphore Niépce in 1826 or 1827. The process he used, called heliography, required a very long exposure time, possibly several days."
 What is the name of the inventor of the World Wide Web?,"Sir Tim Berners-Lee is credited with inventing the World Wide Web (WWW) in 1989. He developed the core technologies of the Web, including HTML, HTTP, and URLs, while working at CERN."
 Who invented the radio?,"The invention of the radio is complex and involves several inventors. Guglielmo Marconi is often credited with the invention because he was the first to successfully demonstrate long-distance wireless communication in 1895 and patented radio technology. However, Nikola Tesla also made significant contributions, and his patents were later upheld as crucial to radio technology."
When was the first car invented?,"Karl Benz is generally credited with inventing the first practical gasoline-powered automobile, the Benz Patent-Motorwagen, in 1885. He received a patent for it in 1886. While there were other earlier steam-powered vehicles, Benz's invention is considered the first modern car."
Who invented the airplane?,"The Wright brothers, Orville and Wilbur Wright, are credited with inventing and building the first successful airplane. They made the first sustained, controlled, and powered heavier-than-air flight on December 17, 1903, at Kitty Hawk, North Carolina."
What material was used for the first computers’ vacuum tubes?,"The vacuum tubes in the first computers were typically made of glass. The glass enclosure created a vacuum, allowing electrons to flow freely between the cathode and anode without colliding with gas molecules. Inside the glass, there were metal elements like the cathode (to emit electrons), the anode (to collect electrons), and sometimes a control grid to regulate the electron flow."
Who is credited with inventing the transistor?,"John Bardeen, Walter Brattain, and William Shockley, at Bell Labs, are credited with inventing the transistor in 1947. This invention revolutionized electronics and paved the way for smaller, more efficient, and more reliable electronic devices."
